"Notes"	"Disease"	"Disease Code"	"Year"	"Year Code"	"Regions/States"	"Regions/States Code"	Case Count	Population for Published Rate	Published Rate
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Virginia"	"51"	10	8535519	0.12
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"West Virginia"	"54"	0	1792147	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"East South Central"	"REGION6"	4	19176181	0.02
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Alabama"	"01"	0	4903185	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Kentucky"	"21"	1	4467673	0.02
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Mississippi"	"28"	0	2976149	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Tennessee"	"47"	3	6829174	0.04
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"West South Central"	"REGION7"	19	40619450	0.05
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Arkansas"	"05"	0	3017804	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Louisiana"	"22"	0	4648794	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Oklahoma"	"40"	0	3956971	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Texas"	"48"	19	28995881	0.07
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Mountain"	"REGION8"	12	24854998	0.05
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Arizona"	"04"	4	7278717	0.05
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Colorado"	"08"	2	5758736	0.03
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Idaho"	"16"	0	1787065	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Montana"	"30"	1	1068778	0.09
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Nevada"	"32"	1	3080156	0.03
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"New Mexico"	"35"	2	2096829	0.10
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Utah"	"49"	1	3205958	0.03
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Wyoming"	"56"	1	578759	0.17
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Pacific"	"REGION9"	41	53492270	0.08
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Alaska"	"02"	0	731545	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"California"	"06"	35	39512223	0.09
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Hawaii"	"15"	2	1415872	0.14
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Oregon"	"41"	0	4217737	0.00
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Washington"	"53"	4	7614893	0.05
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Territories"	"REGION10"	2	Not Available	Not Applicable
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"American Samoa"	"60"	0	Not Available	Not Applicable
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Commonwealth of Northern Mariana Islands"	"69"	0	Not Available	Not Applicable
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Guam"	"66"	0	Not Available	Not Applicable
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"Puerto Rico"	"72"	2	Not Available	Not Applicable
	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2019"	"2019"	"U.S. Virgin Islands"	"78"	0	Not Available	Not Applicable
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"United States"	"U.S."	38	328239523	0.01
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"New England"	"REGION1"	19	14845063	0.13
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Connecticut"	"09"	4	3565287	0.11
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Maine"	"23"	0	1344212	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Massachusetts"	"25"	12	6892503	0.17
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"New Hampshire"	"33"	0	1359711	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Rhode Island"	"44"	3	1059361	0.28
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Vermont"	"50"	0	623989	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Middle Atlantic"	"REGION2"	4	41137740	0.01
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"New Jersey"	"34"	4	8882190	0.05
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"New York (excluding New York City)"	"36888"	0	11116744	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"New York City"	"75772"	0	8336817	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Pennsylvania"	"42"	0	12801989	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"East North Central"	"REGION3"	11	46902431	0.02
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Illinois"	"17"	0	12671821	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Indiana"	"18"	1	6732219	0.01
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Michigan"	"26"	10	9986857	0.10
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Ohio"	"39"	0	11689100	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Wisconsin"	"55"	0	5822434	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"West North Central"	"REGION4"	0	21426573	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Iowa"	"19"	0	3155070	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Kansas"	"20"	0	2913314	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Minnesota"	"27"	0	5639632	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Missouri"	"29"	0	6137428	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Nebraska"	"31"	0	1934408	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"North Dakota"	"38"	0	762062	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"South Dakota"	"46"	0	884659	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"South Atlantic"	"REGION5"	2	65784817	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Delaware"	"10"	0	973764	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"District of Columbia"	"11"	0	705749	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Florida"	"12"	0	21477737	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Georgia"	"13"	1	10617423	0.01
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Maryland"	"24"	0	6045680	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"North Carolina"	"37"	1	10488084	0.01
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"South Carolina"	"45"	0	5148714	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Virginia"	"51"	0	8535519	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"West Virginia"	"54"	0	1792147	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"East South Central"	"REGION6"	2	19176181	0.01
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Alabama"	"01"	1	4903185	0.02
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Kentucky"	"21"	0	4467673	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Mississippi"	"28"	0	2976149	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Tennessee"	"47"	1	6829174	0.01
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"West South Central"	"REGION7"	0	40619450	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Arkansas"	"05"	0	3017804	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Louisiana"	"22"	0	4648794	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Oklahoma"	"40"	0	3956971	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Texas"	"48"	0	28995881	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Mountain"	"REGION8"	0	24854998	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Arizona"	"04"	0	7278717	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Colorado"	"08"	0	5758736	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Idaho"	"16"	0	1787065	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Montana"	"30"	0	1068778	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Nevada"	"32"	0	3080156	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"New Mexico"	"35"	0	2096829	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Utah"	"49"	0	3205958	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Wyoming"	"56"	0	578759	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Pacific"	"REGION9"	0	53492270	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Alaska"	"02"	0	731545	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"California"	"06"	0	39512223	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Hawaii"	"15"	0	1415872	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Oregon"	"41"	0	4217737	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Washington"	"53"	0	7614893	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Territories"	"REGION10"	0	Not Available	Not Applicable
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"American Samoa"	"60"	0	Not Available	Not Applicable
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Commonwealth of Northern Mariana Islands"	"69"	0	Not Available	Not Applicable
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Guam"	"66"	0	Not Available	Not Applicable
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"Puerto Rico"	"72"	0	Not Available	Not Applicable
	"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive"	"10053"	"2019"	"2019"	"U.S. Virgin Islands"	"78"	0	Not Available	Not Applicable
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"United States"	"U.S."	0	328239523	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"New England"	"REGION1"	0	14845063	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Connecticut"	"09"	0	3565287	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Maine"	"23"	0	1344212	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Massachusetts"	"25"	0	6892503	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"New Hampshire"	"33"	0	1359711	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Rhode Island"	"44"	0	1059361	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Vermont"	"50"	0	623989	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Middle Atlantic"	"REGION2"	0	41137740	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"New Jersey"	"34"	0	8882190	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"New York (excluding New York City)"	"36888"	0	11116744	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"New York City"	"75772"	0	8336817	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Pennsylvania"	"42"	0	12801989	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"East North Central"	"REGION3"	0	46902431	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Illinois"	"17"	0	12671821	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Indiana"	"18"	0	6732219	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Michigan"	"26"	0	9986857	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Ohio"	"39"	0	11689100	0.00
	"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive"	"10062"	"2019"	"2019"	"Wisconsin"	"55"	0	5822434	0.00
